environment	category	alpha_env	alpha_env_se	alpha_env_ci99_low	alpha_env_ci99_high	beta_env_log	beta_env_log_se	n_genomes_used	r_squared	p_value
Aquatic	0000049	0.014674350803987673	0.05118532156583658	-0.11717903754960736	0.14652773915758271	0.8834722548377547	0.4190315952344296	595	0.00013858366368280084	0.9490206357217146
Aquatic	0000160	1.512543377392603	0.0603277130273891	1.3571391886340485	1.6679475661511574	-8.912135275210275	0.49388347006798566	598	0.5133148269144594	0.0
Aquatic	0000166	0.4999017728357356	0.037628915706726475	0.4029696859752082	0.596833859696263	-0.7897077670731036	0.30805575964227966	598	0.22847134830051463	0.0
Aquatic	0000179	0.0	0.0	0.0	0.0	0.0	0.0	597	0.0	
Aquatic	0000287	0.44093043224408573	0.037043781377377946	0.3455056514159601	0.5363552130722113	-0.8162249093393616	0.30326545418343764	598	0.19206194694142187	0.0
Aquatic	0000311	0.0	0.0	0.0	0.0	0.0	0.0	598	0.0	
Aquatic	0000314	0.00747530287690412	0.020135655388038975	-0.04439414540268428	0.05934475115649252	0.9679062876937194	0.16484409661978883	598	0.00023119549607253376	0.915997425002445
Aquatic	0000315	-0.041363425223454195	0.011582945799108471	-0.07120109360195762	-0.011525756844950774	1.4236262619426903	0.0948258300836946	598	0.020948560793635274	1.9997020206397744
Aquatic	0001522	0.3259928941734117	0.04996753271083565	0.19727652991029906	0.4547092584365243	-0.7528284429148255	0.40906802541576687	598	0.06665552560461885	1.7057466550340905e-12
Aquatic	0002949	0.08192623549545967	0.0115129165643982	0.052268962425569915	0.11158350856534943	0.4116297842071661	0.09425252339412704	598	0.07830944762591074	9.992007221626409e-15
Aquatic	0003676	0.8578368609861828	0.040169548403153364	0.7543601042996597	0.961313617672706	-3.996425748329368	0.32885509761336795	598	0.43348872562066887	0.0
Aquatic	0003677	1.152767673394553	0.035037828549888475	1.0625102270500404	1.2430251197390658	-4.410777572935556	0.28684336732621835	598	0.6449112038812954	0.0
Aquatic	0003678	0.33326512365063427	0.0331441398547002	0.24788581938492654	0.418644427916342	-0.8285150067481313	0.2713403506018236	598	0.14503371098433315	0.0
Aquatic	0003684	0.5125114867760385	0.04477563626211479	0.3971694477648308	0.6278535257872462	-2.91547851203811	0.36661329323642244	597	0.18045860787424006	0.0
Aquatic	0003697	0.4007695822306872	0.04603737981484174	0.2821772918276549	0.5193618726337195	-1.9377462616215335	0.37689313509148126	598	0.11280794589726117	0.0
Aquatic	0003700	1.7573636565813597	0.06240963887009956	1.5965964268519832	1.9181308863107362	-10.261436634879317	0.5109275234229542	598	0.5708842927819368	0.0
Aquatic	0003723	0.25876399809843487	0.02193040563461142	0.20227127318367585	0.3152567230131939	1.3930783256073762	0.17953713627272813	598	0.18936279267144385	0.0
Aquatic	0003735	0.044712271730489715	0.003854581865157352	0.034782868845844375	0.054641674615135055	3.614521536383381	0.03155621474264647	598	0.18418157208376162	0.0
Aquatic	0003743	0.0931792217671044	0.016251333833351318	0.05131578581239141	0.1350426577218174	0.3963087383903299	0.13304441265998002	598	0.05227524757996205	8.143721252906744e-10
Aquatic	0003746	0.08109968412283822	0.02906886730368542	0.006218281948544582	0.15598108629713187	0.9816616009502428	0.23797741260922617	598	0.012891420462139758	0.007046587067411014
Aquatic	0003755	0.6987337137670941	0.07041039750061551	0.5173565298055086	0.8801108977286797	-3.9891268242114073	0.5764271460229627	598	0.14180443410349242	0.0
Aquatic	0003824	0.8820339305474012	0.038859220671813764	0.7819325780968089	0.9821352829979935	-3.5465159789884697	0.31812786837816553	598	0.463646663061253	0.0
Aquatic	0003887	0.3681397640213991	0.03261934804382215	0.28411232346051324	0.45216720458228493	-1.0348932860253486	0.26704404982042246	598	0.17608122321605235	0.0
Aquatic	0003899	0.09056021080049854	0.03201661931265544	0.008085399451098124	0.17303502214989896	0.8887785577925547	0.2621097046858217	598	0.01324605388348854	0.00613738850011325
Aquatic	0003918	0.28475064692030233	0.04204969584381128	0.17643063042664447	0.3930706634139602	-1.1532808966990709	0.34424725646762455	598	0.07144396950000453	2.0961010704922955e-13
Aquatic	0003922	-0.004864567735513628	0.0064181251255069115	-0.021397658058819435	0.011668522587792178	0.0432909650478989	0.05254411708629053	595	0.0009678252146928523	1.3063050718973432
Aquatic	0003924	0.30041010726594125	0.021645388616599797	0.24465158618958016	0.35616862834230234	0.2559630113094826	0.17720379415150264	598	0.24424814239966408	0.0
Aquatic	0004045	0.15219881983821731	0.03597952115852166	0.05951557333386551	0.24488206634256912	-0.6570332670672967	0.2945199317643295	597	0.029196198916051075	1.12877887683549e-05
Aquatic	0004140	-0.01157069282169003	0.007324407806224871	-0.030438367330525302	0.007296981687145239	0.09929166841583112	0.059962557206321765	598	0.0041697761214566365	1.7958180176876244
Aquatic	0004190	0.3328879805417147	0.05676245019298052	0.18666790884459689	0.4791080522388325	-1.7530330254397346	0.4646958166331089	598	0.05455849308386862	3.0968649866736087e-10
Aquatic	0004222	0.5997949159232622	0.0426995134659344	0.48980096923501515	0.7097888626115092	-2.8071738065801326	0.3495671031188607	598	0.24872196459787665	0.0
Aquatic	0004252	0.6787179578681888	0.040520849385270084	0.574336249851733	0.7830996658846445	-3.2475733960075437	0.33173108510534083	598	0.32006728085209935	0.0
Aquatic	0004386	0.9047158920020183	0.07777177841124401	0.7043757908146537	1.1050559931893829	-5.776117699457696	0.6371512750272327	592	0.18657235537331407	0.0
Aquatic	0004478	0.04336626909653254	0.027009593766351925	-0.026210444445590016	0.1129429826386551	-0.29867322635326143	0.22120168048918146	595	0.004328420383963083	0.1937571944894605
Aquatic	0004479	0.06543614117259948	0.02603701478714263	-0.0016352089190799363	0.1325074912642789	-0.47203710384517156	0.2131566168843047	598	0.010486449458860125	0.017935181727907867
Aquatic	0004523	0.05547069777263043	0.041319634963917606	-0.05096868189442133	0.1619100774396822	0.18361865868093186	0.3381970676522903	596	0.003024907989104042	0.3174782204136579
Aquatic	0004540	0.35451207094275633	0.07040737796386952	0.17314266530782843	0.5358814765776843	-1.5505097341804948	0.576402426052467	598	0.040802564643121264	9.782500098864944e-08
Aquatic	0004595	0.0053931267441030845	0.007344200202701841	-0.01352553297805686	0.02431178646626303	-0.03947630809877684	0.06012666901290653	597	0.0009054862244554096	0.7094261602934746
Aquatic	0004750	0.018277556276107835	0.019711245565903018	-0.03249861230165833	0.06905372485387401	-0.11686939924432531	0.16136959070586032	598	0.0014405746829628807	0.5784638964047435
Aquatic	0004812	0.13006681359238897	0.041740817831360785	0.022542466858803595	0.23759116032597435	0.058741485743023514	0.3417185721041464	598	0.016030478301132356	0.002067402716507516
Aquatic	0004813	0.13628114245713568	0.030830585687315202	0.056861553726611724	0.21570073118765964	-1.0220440695692563	0.25242146482288536	595	0.031898778707552644	3.960756529863829e-06
Aquatic	0004814	0.09665955750650856	0.021278888106772427	0.041845141743462794	0.15147397326955434	-0.7524633264841786	0.1742649084512904	589	0.033958570053800874	1.97239116950243e-06
Aquatic	0004817	0.02127389006548159	0.018739043800264685	-0.026997886764000237	0.06954566689496341	-0.14505550191824682	0.15341048936545829	598	0.0021578167923292924	0.44021107266689175
Aquatic	0004818	-0.13006353380542424	0.03627643224600525	-0.22351162327113377	-0.03661544433971471	1.2039660767397906	0.29698341508833814	598	0.021112919887812387	1.9997207928325162
Aquatic	0004820	0.008619327494736345	0.04324174585838978	-0.10277140983647573	0.12001006482594842	0.38164006968696523	0.35399950839961314	592	6.733782231915786e-05	0.9750230464947567
Aquatic	0004821	-0.002893950513513762	0.008973362948003254	-0.026009333467570145	0.02022143244054262	0.030628911240997522	0.07346201950216939	598	0.00017448162199396045	1.064069736103217
Aquatic	0004822	0.021569200262446034	0.009751464050128765	-0.003550571130685666	0.046688971655577734	-0.16820781260545453	0.07980509575314075	593	0.008210328573868275	0.04439426225850829
