category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
0000049	0.1269994799010128	0.019190273062278676	0.07756533649258292	0.17643362330944268	-0.08715120005641719	0.15817573399177257	-0.49461189081922335	0.320309490706389	2154	0.01994570741789181	7.780442956573097e-13
0000160	1.611201152705643	0.026237009559138862	1.5436146160813011	1.6787876893299847	-9.896468002135842	0.21627187954244725	-10.453584363837187	-9.339351640434497	2164	0.6356051469035234	0.0
0000166	0.5694164613897233	0.014530448223012785	0.5319860267672424	0.6068468960122043	-1.3852955042412014	0.11977460086302345	-1.6938348760643498	-1.076756132418053	2164	0.41530977739288377	0.0
0000179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2157	0.0	
0000287	0.5807994845738856	0.014642580750350206	0.5430801965609835	0.6185187725867878	-1.9262231749683023	0.12069891018228662	-2.237143567597873	-1.615302782338732	2164	0.42120093150379945	0.0
0000311	0.0007805537536320962	0.0007493927690600464	-0.0011498820194665834	0.0027109895267307758	-0.006105147271047227	0.006177250586230866	-0.02201774478117794	0.009807450239083484	2164	0.0005015486578425765	0.5012431808741429
0000314	0.03197696875453634	0.008547124513737204	0.0099595760071493	0.053994361501923376	0.7465856830549871	0.07045401569499375	0.5650961386246831	0.928075227485291	2164	0.006432447260895646	0.0001349295258568084
0000315	-0.00427835466029722	0.00263166481344627	-0.011057523219734813	0.0025008138991403717	1.1303739554672745	0.021692834095549618	1.0744932148371387	1.1862546960974103	2164	0.001220973233270528	1.8141039583642544
0001522	0.13364926736236415	0.019882764889462504	0.08243126500710873	0.18486726971761958	0.7590070397444648	0.1638937899325814	0.33681663687813507	1.1811974426107945	2164	0.020471099775380308	3.219646771412954e-13
0002949	0.07422502735932666	0.006380039644759088	0.057790045234427254	0.09066000948422608	0.4769145124890758	0.052590717795685527	0.3414408234473899	0.6123882015307617	2164	0.05891516054272916	0.0
0003676	0.7142721037100266	0.01624595936530158	0.6724225123850097	0.7561216950350435	-2.8134127010952503	0.13391557292321682	-3.1583792169454568	-2.468446185245044	2164	0.4720418255799532	0.0
0003677	1.1505716502445382	0.01353332466127347	1.1157098059170978	1.1854334945719787	-4.290298516826794	0.11155530337230365	-4.577664978313848	-4.002932055339739	2164	0.7697551372699709	0.0
0003678	0.28230009851267	0.015952603321458012	0.24120619235659418	0.32339400466874585	-0.4251703010421515	0.13149743670863873	-0.7639076980036048	-0.08643290408069809	2164	0.12651924162100248	0.0
0003684	0.4351210983418143	0.017684546682709117	0.38956570608715557	0.480676490596473	-2.2204865069754476	0.14578808932811785	-2.5960366250846794	-1.844936388866216	2161	0.21899476099508808	0.0
0003697	0.33486612402293564	0.01828484633427571	0.2877643598658414	0.38196788818002986	-1.3727763730958087	0.15072754405443994	-1.761050526580046	-0.9845022196115714	2163	0.13435259668894695	0.0
0003700	1.8036865717364456	0.023815003948703794	1.7423391215645847	1.8650340219083066	-10.459352690735981	0.19632042416916984	-10.965074103395763	-9.9536312780762	2163	0.7263571273323604	0.0
0003723	0.24047188897528635	0.008329983063273472	0.21901385260429387	0.2619299253462788	1.5449636442997985	0.06866411698292782	1.3680848789517763	1.7218424096478206	2164	0.27822055534808565	0.0
0003735	0.046002391932701454	0.0017679841478165142	0.04144806476792611	0.0505567190974768	3.6138886952420406	0.014573507464243164	3.5763473400141503	3.651430050469931	2164	0.2384706981458795	0.0
0003743	0.09766112870322968	0.006056402780899547	0.08205983513963244	0.11326242226682692	0.3525669390392979	0.049922976539641895	0.2239653514731804	0.4811685266054154	2164	0.10735826332361909	0.0
0003746	0.14546331590396133	0.011016197511939564	0.11708559111320502	0.17384104069471765	0.42475921359607494	0.09080660415768044	0.1908414012858901	0.6586770259062598	2164	0.07462838175640385	0.0
0003755	0.5407165183116049	0.02394858952656725	0.4790249516911677	0.6024080849320422	-2.779887093159877	0.19740841491964842	-3.2884111699928917	-2.2713630163268625	2164	0.19080042925711516	0.0
0003824	1.3568267755091064	0.019603476175698083	1.306328220880508	1.4073253301377047	-7.5611042069736065	0.16159161083230414	-7.977364196477622	-7.144844217469591	2164	0.6890336040453555	0.0
0003887	0.2967002169206791	0.012391408717013639	0.26477994806565197	0.32862048577570624	-0.4037379075655618	0.10214248111495385	-0.6668569389176829	-0.1406188762134407	2164	0.20959783612807448	0.0
0003899	0.0774306859419611	0.012138908651779013	0.046160857254978364	0.10870051462894384	1.002505730623695	0.10006112105866412	0.7447482827765763	1.2602631784708138	2164	0.01847200043273023	5.630607091688944e-12
0003918	0.11591626486513154	0.01631004444703638	0.07390159036956583	0.15793093936069724	0.2256495324863972	0.13444382676427197	-0.12067776525836743	0.5719768302311619	2164	0.02282933182421254	1.0880185641326534e-14
0003922	-0.003395295412276685	0.004615739240215779	-0.015285439695072532	0.008494848870519163	0.039734225215513244	0.03805497560284861	-0.05829539193742478	0.13776384236845127	2153	0.0002514912942663816	1.2914049317264333
0003924	0.29785400635330345	0.009222488087596185	0.2740968770396557	0.3216111356669512	0.258532276728102	0.07602104303337083	0.0627020698741387	0.4543624835820652	2164	0.32544235062220284	0.0
0004045	0.09810906921067547	0.015910536576022483	0.057123526990841555	0.13909461143050939	-0.18660524523823263	0.13113435250840938	-0.5244073372998952	0.15119684682342993	2159	0.017322459060658435	3.0713431797835256e-11
0004140	-0.007917940887493839	0.0025909445690356285	-0.01459221409732962	-0.0012436676776580594	0.06903973672846273	0.021358988113414183	0.014018983348307791	0.12406049010861767	2158	0.004313028567396016	1.9973824070022104
0004190	0.4524008373843068	0.02161743201724817	0.3967143325078755	0.5080873422607382	-2.8145229272265277	0.1782214739316904	-3.2736214440745623	-2.355424410378493	2160	0.1687096405516617	0.0
0004222	0.5873239479500545	0.019826485193578082	0.5362509220913974	0.6383969738087116	-2.7808140648538817	0.16342987594948946	-3.2018094252997664	-2.359818704407997	2164	0.2887067588407044	0.0
0004252	0.7442763639322464	0.017365818469727234	0.699542015554229	0.7890107123102638	-3.8212176983475756	0.14314658047348452	-4.189963289647272	-3.4524721070478797	2164	0.45934699082950015	0.0
0004386	0.5658672555597604	0.02970720909476914	0.48934148493163504	0.6423930261878856	-3.0006314684490145	0.24510293134955394	-3.6320166196054657	-2.3692463172925633	2144	0.14485278248642786	0.0
0004478	0.033371246323601556	0.010686213305455302	0.0058435608487486974	0.06089893179845442	-0.21566446130303274	0.08810818602107803	-0.44263114849332974	0.011302225887264289	2159	0.004500781750963689	0.0020125236207122477
0004479	0.14462292901117296	0.010677319012983633	0.11711815523372712	0.1721277027886188	-1.1151126390721349	0.08801322598169109	-1.341834709200971	-0.8883905689432986	2164	0.07822060570572353	0.0
0004523	0.17934793216406802	0.016215159099603128	0.13757768232349038	0.22111818200464567	-0.8375639698514905	0.13365348872768407	-1.1818553568140047	-0.49327258288897635	2160	0.05364777167529278	0.0
0004540	0.5676576060130175	0.026596174913355062	0.49914585943621487	0.6361693525898202	-3.413363543199603	0.2192324824285262	-3.9781064179354866	-2.8486206684637194	2164	0.17403629717885571	0.0
0004595	0.020512505930217632	0.0036531088199852554	0.011102097609935614	0.02992291425049965	-0.1611761989153774	0.03011782647514476	-0.2387597199153503	-0.0835926779154045	2157	0.014419724059028916	1.9178170163058894e-09
