category	name	definition
K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	
K01608	tartronate-semialdehyde synthase [EC:4.1.1.47]	
K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	
K01611	S-adenosylmethionine decarboxylase [EC:4.1.1.50]	
K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	
K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	
K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	
K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	
K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]	
K01631	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	
K01635	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	
K01637	isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]	
K01638	malate synthase [EC:2.3.3.9]	
K01639	N-acetylneuraminate lyase [EC:4.1.3.3]	
K01640	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	
K01641	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	
K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	
K01646	citrate lyase subunit gamma (acyl carrier protein)	
K01647	citrate synthase [EC:2.3.3.1]	
K01649	2-isopropylmalate synthase [EC:2.3.3.13]	
K01655	homocitrate synthase [EC:2.3.3.14]	
K01659	2-methylcitrate synthase [EC:2.3.3.5]	
K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	
K01664	para-aminobenzoate synthetase component II [EC:2.6.1.85]	
K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	
K01666	4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	
K01667	tryptophanase [EC:4.1.99.1]	
K01668	tyrosine phenol-lyase [EC:4.1.99.2]	
K01675	fumarate hydratase D [EC:4.2.1.2]	
K01676	fumarate hydratase, class I [EC:4.2.1.2]	
