category	name	definition
K00443	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	
K00450	gentisate 1,2-dioxygenase [EC:1.13.11.4]	
K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	
K00452	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	
K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]	
K00456	cysteine dioxygenase [EC:1.13.11.20]	
K00469	inositol oxygenase [EC:1.13.99.1]	
K00471	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	
K00474	trimethyllysine dioxygenase [EC:1.14.11.8]	
K00544	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	
K00548	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	
K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	
K00552	glycine N-methyltransferase [EC:2.1.1.20]	
K00560	thymidylate synthase [EC:2.1.1.45]	
K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	
K00587	protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	
K00603	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	
K00608	aspartate carbamoyltransferase [EC:2.1.3.2]	
K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	
K00610	aspartate carbamoyltransferase regulatory subunit	
K00618	amino-acid N-acetyltransferase [EC:2.3.1.1]	
K00619	amino-acid N-acetyltransferase [EC:2.3.1.1]	
K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	
K00634	phosphate butyryltransferase [EC:2.3.1.19]	
K00639	glycine C-acetyltransferase [EC:2.3.1.29]	
K00640	serine O-acetyltransferase [EC:2.3.1.30]	
K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	
K00643	5-aminolevulinate synthase [EC:2.3.1.37]	
K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	
K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	
K00654	serine palmitoyltransferase [EC:2.3.1.50]	
K00672	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	
K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	
K00681	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	
K00748	lipid-A-disaccharide synthase [EC:2.4.1.182]	
K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	
K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	
K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	
K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	
K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	
K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	
K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	
K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	
K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	
K00793	riboflavin synthase [EC:2.5.1.9]	
K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	
K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	
K00804	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]	
K00811	aspartate aminotransferase, chloroplastic [EC:2.6.1.1]	
K00812	aspartate aminotransferase [EC:2.6.1.1]	
K00813	aspartate aminotransferase [EC:2.6.1.1]	
K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	
K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	
K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	
K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	
K00849	galactokinase [EC:2.7.1.6]	
K00851	gluconokinase [EC:2.7.1.12]	
K00854	xylulokinase [EC:2.7.1.17]	
K00855	phosphoribulokinase [EC:2.7.1.19]	
K00858	NAD+ kinase [EC:2.7.1.23]	
K00859	dephospho-CoA kinase [EC:2.7.1.24]	
K00861	riboflavin kinase [EC:2.7.1.26]	
K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	
K00864	glycerol kinase [EC:2.7.1.30]	
K00869	mevalonate kinase [EC:2.7.1.36]	
K00872	homoserine kinase [EC:2.7.1.39]	
K00877	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]	
K00878	hydroxyethylthiazole kinase [EC:2.7.1.50]	
K00879	L-fuculokinase [EC:2.7.1.51]	
K00883	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	
K00884	N-acetylglucosamine kinase [EC:2.7.1.59]	
K00891	shikimate kinase [EC:2.7.1.71]	
K00899	5-methylthioribose kinase [EC:2.7.1.100]	
K00900	6-phosphofructo-2-kinase [EC:2.7.1.105]	
K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	
K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	
K00927	phosphoglycerate kinase [EC:2.7.2.3]	
K00928	aspartate kinase [EC:2.7.2.4]	
K00929	butyrate kinase [EC:2.7.2.7]	
K00931	glutamate 5-kinase [EC:2.7.2.11]	
K00938	phosphomevalonate kinase [EC:2.7.4.2]	
K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	
K00945	CMP/dCMP kinase [EC:2.7.4.25]	
K00946	thiamine-monophosphate kinase [EC:2.7.4.16]	
K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	
K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	
K00953	FAD synthetase [EC:2.7.7.2]	
K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	
K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	
K00965	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	
K00966	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	
K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	
K00972	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]	
K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	
K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	
K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	
K00978	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	
K00980	glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	
K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	
K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	
K01003	oxaloacetate decarboxylase [EC:4.1.1.112]	
K01004	phosphatidylcholine synthase [EC:2.7.8.24]	
K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1]	
K01007	pyruvate, water dikinase [EC:2.7.9.2]	
K01008	selenide, water dikinase [EC:2.7.9.3]	
K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	
K01012	biotin synthase [EC:2.8.1.6]	
K01057	6-phosphogluconolactonase [EC:3.1.1.31]	
K01060	cephalosporin-C deacetylase [EC:3.1.1.41]	
K01067	acetyl-CoA hydrolase [EC:3.1.2.1]	
K01070	S-formylglutathione hydrolase [EC:3.1.2.12]	
K01079	phosphoserine phosphatase [EC:3.1.3.3]	
K01089	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]	
K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	
K01117	sphingomyelin phosphodiesterase [EC:3.1.4.12]	
K01129	dGTPase [EC:3.1.5.1]	
K01230	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]	
K01241	AMP nucleosidase [EC:3.2.2.4]	
K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10]	
K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	
K01455	formamidase [EC:3.5.1.49]	
K01457	allophanate hydrolase [EC:3.5.1.54]	
K01458	N-formylglutamate deformylase [EC:3.5.1.68]	
K01465	dihydroorotase [EC:3.5.2.3]	
K01468	imidazolonepropionase [EC:3.5.2.7]	
K01469	5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]	
K01470	creatinine amidohydrolase [EC:3.5.2.10]	
K01477	allantoicase [EC:3.5.3.4]	
K01479	formiminoglutamase [EC:3.5.3.8]	
K01480	agmatinase [EC:3.5.3.11]	
K01483	ureidoglycolate lyase [EC:4.3.2.3]	
K01484	succinylarginine dihydrolase [EC:3.5.3.23]	
K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	
K01495	GTP cyclohydrolase IA [EC:3.5.4.16]	
K01496	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]	
K01497	GTP cyclohydrolase II [EC:3.5.4.25]	
K01498	diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]	
K01499	methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	
K01501	nitrilase [EC:3.5.5.1]	
K01505	1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	
K01513	ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]	
K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	
K01520	dUTP diphosphatase [EC:3.6.1.23]	
K01521	CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]	
K01523	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	
K01525	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	
K01555	fumarylacetoacetase [EC:3.7.1.2]	
K01577	oxalyl-CoA decarboxylase [EC:4.1.1.8]	
K01581	ornithine decarboxylase [EC:4.1.1.17]	
K01583	arginine decarboxylase [EC:4.1.1.19]	
K01584	arginine decarboxylase [EC:4.1.1.19]	
K01585	arginine decarboxylase [EC:4.1.1.19]	
K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	
K01587	phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]	
K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	
K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	
K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	
K01597	diphosphomevalonate decarboxylase [EC:4.1.1.33]	
K01598	phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]	
