category	r_squared
K00005	0.0871953711679165
K00014	0.0845142704375402
K00021	0.1059548730857659
K00077	0.1215777403819077
K00133	0.127035349682656
K00169	0.0934822450301254
K00170	0.0934822450301254
K00171	0.0934822450301254
K00172	0.0934822450301254
K00174	0.0934822450301254
K00175	0.0934822450301254
K00189	0.0934822450301254
K00216	0.087389981690784
K00228	0.216672634460353
K00288	0.0910085780317594
K00299	0.1090873236726229
K00300	0.0910085780317594
K00456	0.063373311315995
K00640	0.1818600410182267
K00672	0.1731752198349937
K00767	0.0651494089307763
K00768	0.1002048573119829
K00787	0.457368749173954
K00795	0.457368749173954
K00800	0.0719984095460969
K00820	0.1850824345812524
K00864	0.0581729469903301
K00869	0.0594172074286358
K00884	0.2173133226894816
K00963	0.0810376800842818
K01006	0.0627631986009281
K01067	0.0629177989001836
K01091	0.0732755082919067
K01433	0.1073729688554931
K01469	0.0646011297044933
K01480	0.0823719057461753
K01483	0.1094396138457215
K01491	0.0910085780317594
K01495	0.052005343841077
K01497	0.1990387539710009
K01501	0.0509309641721118
K01586	0.1174378954976892
K01587	0.0545610208278347
K01626	0.0615461686426066
K01635	0.0534369516460196
K01638	0.0515091171630229
K01647	0.0936343766215508
K01649	0.0645924946661478
K01662	0.0798303408456317
K01675	0.1183894952747762
K01676	0.1183894952747762
K01677	0.1183894952747762
K01678	0.1183894952747762
K01679	0.1183894952747762
K01686	0.066872300642123
K01711	0.0520292045676586
K01719	0.1073989859330496
K01749	0.1250063169676843
K01774	0.1183894952747762
K01819	0.0939384882097553
K01851	0.0961203081123833
K01857	0.0663341561289174
K01858	0.1899776250344366
K01910	0.059292893596539
K01915	0.262436745178663
K01919	0.184032475005058
K01921	0.0800878129229634
K01939	0.0562379209470935
K02302	0.0822948393044944
K02304	0.0822948393044944
K02361	0.0961203081123833
K02552	0.0961203081123833
K02858	0.0583804607842135
K03430	0.1775309468349053
K03526	0.1250445157224353
K03527	0.1076410806043293
K03737	0.0934822450301254
K03785	0.1004003187399643
K03786	0.1004003187399643
K03856	0.0615461686426066
K03921	0.0813125798343674
K03922	0.0813125798343674
K04118	0.3713569491751762
K05712	0.2283463319920374
K05878	0.0603820535623073
K05879	0.0603820535623073
K05881	0.0603820535623073
K05887	0.0845142704375402
K05942	0.0936343766215508
K06048	0.184032475005058
K06153	0.0898525796194172
K06211	0.0979211769196489
K07160	0.0646011297044933
K07749	0.05883790729614
K08302	0.0534369516460196
K08323	0.066872300642123
K08678	0.0700575755607412
K09007	0.052005343841077
K10524	0.0979211769196489
K11204	0.184032475005058
K11205	0.184032475005058
K12449	0.0700575755607412
K12526	0.0712912456943226
K13243	0.051181007753891
K13244	0.051181007753891
K13245	0.051181007753891
K13246	0.051181007753891
K13542	0.1073989859330496
K13543	0.1073989859330496
K13562	0.1090873236726229
K13786	0.1043740511961336
K13830	0.1358417068349512
K13832	0.1123072750596687
K14652	0.1905942186900995
K16371	0.0534369516460196
K16856	0.1094396138457215
K18384	0.0615451659781067
K19269	0.0732755082919067
K19285	0.1090873236726229
K19286	0.1090873236726229
K19302	0.0898525796194172
K19670	0.2012717509176951
K19726	0.109632213556174
K22223	0.0732755082919067
K22251	0.0871953711679165
K22391	0.052005343841077
K22548	0.0615451659781067
K22920	0.0810376800842818
K23123	0.0646011297044933
K23124	0.0646011297044933
K23304	0.1818600410182267
K24042	0.124957824981322
K24263	0.1215777403819077
K28203	0.0732755082919067
K28207	0.2173133226894816
K28208	0.2173133226894816
K28556	0.3713569491751762
K28660	0.0810376800842818
