environment	category	r_squared
Mammals: Human	R00830	0.0879601563777353
Mammals: Human	R00833	0.1158149869314946
Mammals: Human	R00885	0.0775749160781105
Mammals: Human	R00893	0.0845649090420894
Mammals: Human	R00894	0.3650255552446165
Mammals: Human	R00944	0.061469683200226
Mammals: Human	R01034	0.1680284334282594
Mammals: Human	R01056	0.0900042787926169
Mammals: Human	R01069	0.1301063995420316
Mammals: Human	R01082	0.0673859995266894
Mammals: Human	R01135	0.0761575028410672
Mammals: Human	R01150	0.1011068452491289
Mammals: Human	R01152	0.0887779862951828
Mammals: Human	R01157	0.2401426226616958
Mammals: Human	R01213	0.1612748998717962
Mammals: Human	R01334	0.0882901695110287
Mammals: Human	R01357	0.1362015495818119
Mammals: Human	R01450	0.0686563502625147
Mammals: Human	R01516	0.1265621034373659
Mammals: Human	R01715	0.1791491941813743
Mammals: Human	R01716	0.0663220847615306
Mammals: Human	R01717	0.1825474157259825
Mammals: Human	R01931	0.0693373389594104
Mammals: Human	R02003	0.2807607433710588
Mammals: Human	R02082	0.163359976885598
Mammals: Human	R02291	0.0508293185455273
Mammals: Human	R02292	0.1109050418429615
Mammals: Human	R02293	0.3604883575587071
Mammals: Human	R02324	0.2688566197951837
Mammals: Human	R02413	0.080099295543885
Mammals: Human	R02472	0.0801444351699071
Mammals: Human	R02539	0.0914088235934381
Mammals: Human	R02722	0.080785677484084
Mammals: Human	R02728	0.0671088255404677
Mammals: Human	R02788	0.0514777830474653
Mammals: Human	R02807	0.0845375589482579
Mammals: Human	R02813	0.0789946773804969
Mammals: Human	R02864	0.0829160942037735
Mammals: Human	R03033	0.1097839579412132
Mammals: Human	R03084	0.0706679312607772
Mammals: Human	R03165	0.1383528832403976
Mammals: Human	R03220	0.4309357887445113
Mammals: Human	R03240	0.1027977440159245
Mammals: Human	R03348	0.1028422388930857
Mammals: Human	R03370	0.0537639202672185
Mammals: Human	R03503	0.0505955497695188
Mammals: Human	R03532	0.5134163610716111
Mammals: Human	R03876	0.2874287293598133
Mammals: Human	R03947	0.1555667072708536
Mammals: Human	R04152	0.1303429315595468
Mammals: Human	R04438	0.0830013957929087
Mammals: Human	R04449	0.0967036218794397
Mammals: Human	R04594	0.276189641623654
Mammals: Human	R05218	0.0511326671535011
Mammals: Human	R05227	0.0853122439622833
Mammals: Human	R05606	0.1226295091935248
Mammals: Human	R05627	0.1429774979861022
