category	r_squared
map00010	0.0726920610257133
map00020	0.1320770034590196
map00030	0.2927154817366286
map00040	0.1423215498631285
map00051	0.143593731947123
map00052	0.0773292755960831
map00053	0.079721120938199
map00061	0.0813125798343674
map00220	0.3132350143939401
map00230	0.2732581039177993
map00240	0.0892267392415402
map00250	0.3111052115624809
map00260	0.3580074656483861
map00270	0.2835454175370123
map00280	0.2296792386308803
map00290	0.0645924946661478
map00300	0.2222544794868096
map00330	0.116140069928978
map00340	0.324761208414516
map00350	0.2366702818622836
map00360	0.1100687835398577
map00362	0.2440425924426538
map00400	0.1957100977429677
map00470	0.2237430496158235
map00480	0.2978894613668079
map00520	0.1670888646398323
map00521	0.1263225762003947
map00523	0.0555703227978513
map00525	0.0500067053871456
map00541	0.2109504715490073
map00550	0.0651635101926498
map00552	0.0898525796194172
map00561	0.125413647592756
map00562	0.1831758803668199
map00566	0.0810376800842818
map00620	0.4236069602279535
map00630	0.4106513657630404
map00643	0.1674079136489998
map00650	0.2150421864426832
map00670	0.3474951703944601
map00680	0.2001290818269661
map00710	0.0894736282590029
map00720	0.3710424653811661
map00730	0.1011917184181983
map00740	0.2926050374298955
map00760	0.1513582295177317
map00770	0.1775637932274847
map00780	0.1085060939909072
map00790	0.1958707261633825
map00860	0.3209625042290235
map00900	0.1158155813624506
map00910	0.3880911042115627
map00920	0.1014479630595169
map00998	0.1779830628144268
map01040	0.0813125798343674
map01053	0.1739166794075574
map01100	0.6254039961876794
map01110	0.4935029382171664
map01120	0.5890028441461356
map01200	0.4210125255853397
map01210	0.2097699495609304
map01212	0.0813125798343674
map01220	0.2456651952776735
map01230	0.3870850059446348
map01232	0.1906873749419773
map01240	0.4660470947255719
map01250	0.3066195949549295
map01310	0.1139668207524736
