category	r_squared
R00084	0.1250063169676843
R00090	0.0687592739050837
R00138	0.1379991608813435
R00206	0.0627631986009281
R00227	0.0629177989001836
R00251	0.0646011297044933
R00253	0.262436745178663
R00289	0.0810376800842818
R00318	0.2012717509176951
R00351	0.0936343766215508
R00424	0.052005343841077
R00425	0.1990387539710009
R00451	0.1174378954976892
R00472	0.0515091171630229
R00540	0.0509309641721118
R00586	0.1818600410182267
R00630	0.2305246558091057
R00768	0.1850824345812524
R00776	0.1094396138457215
R00847	0.0581729469903301
R00888	0.0520292045676586
R00893	0.063373311315995
R00894	0.184032475005058
R00931	0.0631578676618412
R00944	0.1073729688554931
R01012	0.0603820535623073
R01034	0.0871953711679165
R01069	0.0534369516460196
R01082	0.1183894952747762
R01135	0.0562379209470935
R01150	0.0800878129229634
R01157	0.0823719057461753
R01196	0.0934822450301254
R01201	0.2173133226894816
R01213	0.0645924946661478
R01220	0.0910085780317594
R01334	0.0732755082919067
R01384	0.0700575755607412
R01505	0.087389981690784
R01717	0.0961203081123833
R01826	0.0615461686426066
R02003	0.457368749173954
R02082	0.1059548730857659
R02245	0.0594172074286358
R02291	0.127035349682656
R02292	0.1774099429885024
R02324	0.0979211769196489
R02413	0.0845142704375402
R02472	0.1215777403819077
R03084	0.1004003187399643
R03165	0.1073989859330496
R03220	0.216672634460353
R03240	0.0939384882097553
R03307	0.0663341561289174
R03348	0.0651494089307763
R03370	0.0813125798343674
R03390	0.1731752198349937
R03460	0.0719984095460969
R03532	0.3831374114128479
R03876	0.1485257150674688
R04148	0.1002048573119829
R04152	0.1775309468349053
R04374	0.0615451659781067
R04449	0.059292893596539
R05218	0.1043740511961336
R05311	0.3713569491751762
R05606	0.066872300642123
R05627	0.0898525796194172
R05636	0.0798303408456317
R05706	0.1090873236726229
R05884	0.1076410806043293
R06786	0.2283463319920374
R07226	0.0537834831532022
R07281	0.0583804607842135
R07290	0.05883790729614
R07324	0.1899776250344366
R07359	0.1673948617479884
R08689	0.1250445157224353
R08991	0.051181007753891
R09541	0.1275104972620108
