accession	filePath	fileType	uncompressedLengthBytes
GCF_000008465.1	GCF_000008465.1/genomic.gbff	GENBANK_FLAT_FILE	7681261
GCF_000008465.1	GCF_000008465.1/GCF_000008465.1_ASM846v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2874869
GCF_000008465.1	GCF_000008465.1/genomic.gff	GFF3	1770520
GCF_000008465.1	GCF_000008465.1/protein.faa	PROTEIN_FASTA	1076261
GCF_000008465.1	GCF_000008465.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000009045.1	GCF_000009045.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	5318215
GCF_000009045.1	GCF_000009045.1/genomic.gbff	GENBANK_FLAT_FILE	13416020
GCF_000009045.1	GCF_000009045.1/GCF_000009045.1_ASM904v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4268374
GCF_000009045.1	GCF_000009045.1/genomic.gff	GFF3	3809073
GCF_000009045.1	GCF_000009045.1/protein.faa	PROTEIN_FASTA	1678330
GCF_000009045.1	GCF_000009045.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000009365.1	GCF_000009365.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3279679
GCF_000009365.1	GCF_000009365.1/genomic.gbff	GENBANK_FLAT_FILE	8023131
GCF_000009365.1	GCF_000009365.1/GCF_000009365.1_ASM936v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3159205
GCF_000009365.1	GCF_000009365.1/genomic.gff	GFF3	1688687
GCF_000009365.1	GCF_000009365.1/protein.faa	PROTEIN_FASTA	1129840
GCF_000009365.1	GCF_000009365.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000010265.1	GCF_000010265.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4102241
GCF_000010265.1	GCF_000010265.1/genomic.gbff	GENBANK_FLAT_FILE	10182639
GCF_000010265.1	GCF_000010265.1/GCF_000010265.1_ASM1026v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4004887
GCF_000010265.1	GCF_000010265.1/genomic.gff	GFF3	2372521
GCF_000010265.1	GCF_000010265.1/protein.faa	PROTEIN_FASTA	1370638
GCF_000010265.1	GCF_000010265.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000010425.1	GCF_000010425.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2182446
GCF_000010425.1	GCF_000010425.1/genomic.gbff	GENBANK_FLAT_FILE	5249412
GCF_000010425.1	GCF_000010425.1/GCF_000010425.1_ASM1042v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2115838
GCF_000010425.1	GCF_000010425.1/genomic.gff	GFF3	1117055
GCF_000010425.1	GCF_000010425.1/protein.faa	PROTEIN_FASTA	736648
GCF_000010425.1	GCF_000010425.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000011305.1	GCF_000011305.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3398650
GCF_000011305.1	GCF_000011305.1/genomic.gbff	GENBANK_FLAT_FILE	7991619
GCF_000011305.1	GCF_000011305.1/GCF_000011305.1_ASM1130v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3259971
GCF_000011305.1	GCF_000011305.1/genomic.gff	GFF3	1707163
GCF_000011305.1	GCF_000011305.1/protein.faa	PROTEIN_FASTA	1142257
GCF_000011305.1	GCF_000011305.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000011325.1	GCF_000011325.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3532764
GCF_000011325.1	GCF_000011325.1/genomic.gbff	GENBANK_FLAT_FILE	8533382
GCF_000011325.1	GCF_000011325.1/GCF_000011325.1_ASM1132v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3350839
GCF_000011325.1	GCF_000011325.1/genomic.gff	GFF3	1904140
GCF_000011325.1	GCF_000011325.1/protein.faa	PROTEIN_FASTA	1183199
GCF_000011325.1	GCF_000011325.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000011905.1	GCF_000011905.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1666952
GCF_000011905.1	GCF_000011905.1/genomic.gbff	GENBANK_FLAT_FILE	4046313
GCF_000011905.1	GCF_000011905.1/GCF_000011905.1_ASM1190v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1488153
GCF_000011905.1	GCF_000011905.1/genomic.gff	GFF3	986685
GCF_000011905.1	GCF_000011905.1/protein.faa	PROTEIN_FASTA	532592
GCF_000011905.1	GCF_000011905.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000012085.2	GCF_000012085.2/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1269186
GCF_000012085.2	GCF_000012085.2/genomic.gbff	GENBANK_FLAT_FILE	3017436
GCF_000012085.2	GCF_000012085.2/GCF_000012085.2_ASM1208v2_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1180682
GCF_000012085.2	GCF_000012085.2/genomic.gff	GFF3	676748
GCF_000012085.2	GCF_000012085.2/protein.faa	PROTEIN_FASTA	413026
GCF_000012085.2	GCF_000012085.2/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000012345.1	GCF_000012345.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1562040
GCF_000012345.1	GCF_000012345.1/genomic.gbff	GENBANK_FLAT_FILE	3757251
GCF_000012345.1	GCF_000012345.1/GCF_000012345.1_ASM1234v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1325191
GCF_000012345.1	GCF_000012345.1/genomic.gff	GFF3	945082
GCF_000012345.1	GCF_000012345.1/protein.faa	PROTEIN_FASTA	538667
GCF_000012345.1	GCF_000012345.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000012365.1	GCF_000012365.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	7098133
GCF_000012365.1	GCF_000012365.1/genomic.gbff	GENBANK_FLAT_FILE	17035701
GCF_000012365.1	GCF_000012365.1/GCF_000012365.1_ASM1236v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	6808178
GCF_000012365.1	GCF_000012365.1/genomic.gff	GFF3	3710770
GCF_000012365.1	GCF_000012365.1/protein.faa	PROTEIN_FASTA	2342468
GCF_000012365.1	GCF_000012365.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000012925.1	GCF_000012925.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4375571
GCF_000012925.1	GCF_000012925.1/genomic.gbff	GENBANK_FLAT_FILE	10241080
GCF_000012925.1	GCF_000012925.1/GCF_000012925.1_ASM1292v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4061467
GCF_000012925.1	GCF_000012925.1/genomic.gff	GFF3	2252916
GCF_000012925.1	GCF_000012925.1/protein.faa	PROTEIN_FASTA	1475368
GCF_000012925.1	GCF_000012925.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000012945.1	GCF_000012945.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	9323665
GCF_000012945.1	GCF_000012945.1/genomic.gbff	GENBANK_FLAT_FILE	22761883
GCF_000012945.1	GCF_000012945.1/GCF_000012945.1_ASM1294v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	8784921
GCF_000012945.1	GCF_000012945.1/genomic.gff	GFF3	5354175
GCF_000012945.1	GCF_000012945.1/protein.faa	PROTEIN_FASTA	3083309
