environment	category	alpha_env	alpha_env_se	alpha_env_ci99_low	alpha_env_ci99_high	beta_env_log	beta_env_log_se	n_genomes_used	r_squared	p_value
Aquatic	R00004	0.056091474606672936	0.035485483934857114	-0.035319132009518986	0.14750208122286484	-0.39778555928120646	0.2908148817836329	422	0.005913805033941122	0.203794787471701
Aquatic	R00005	-0.009089835803090966	0.03332375961085705	-0.09493184056065873	0.07675216895447678	0.08557179894495359	0.2775876891365	70	0.0010930001825354418	1.046263555183435
Aquatic	R00013	0.0	0.0	0.0	0.0	0.0	0.0	38	0.0	
Aquatic	R00036	0.044152102141664686	0.014631103700592837	0.0064623790089375355	0.08184182527439184	-0.34535108368908685	0.12000303853468537	570	0.015779479534539065	0.003035620944815687
Aquatic	R00066	0.0	0.0	0.0	0.0	0.0	0.0	47	0.0	
Aquatic	R00084	0.016291272770386632	0.011113899154792026	-0.01233813145235763	0.04492067699313089	-0.12370883654507281	0.0911667509903287	564	0.0038087593222210225	0.25463881858271886
Aquatic	R00090	0.39467181907382265	0.08096729369019122	0.18610007052789007	0.6032435676197552	-3.108943954637955	0.6542879331307686	76	0.24304696529123437	2.696033627458405e-07
Aquatic	R00104	0.08220507482931787	0.05547231662745593	-0.060691612803008596	0.22510176246164432	-0.5958231934437932	0.45836872407540735	323	0.006794829924827717	0.2470766501608499
Aquatic	R00114	-0.03340958939043789	0.10999017300285902	-0.3167442750458027	0.24992509626492695	0.3886836882309071	0.8807589674000078	90	0.0010473618047290856	1.0570456320941815
Aquatic	R00125	0.0336580157932954	0.018786845741768962	-0.014736898837501448	0.08205293042409226	-0.2695757009359928	0.15462588473464234	190	0.016786466171977876	0.12958979381457025
Aquatic	R00130	-0.01157069282169003	0.007324407806224871	-0.030438367330525302	0.007296981687145239	0.09929166841583112	0.059962557206321765	598	0.0041697761214566365	1.7958180176876244
Aquatic	R00138	0.0	0.0	0.0	0.0	0.0	0.0	32	0.0	
Aquatic	R00161	0.018389393316367547	0.00585006139807928	0.0033196351549153215	0.033459151477819776	-0.14771951238188877	0.0478685253487588	525	0.018543148543765264	0.0018535935269992088
Aquatic	R00178	-0.08332326593926101	0.05241055321258496	-0.21833285101487987	0.05168631913635785	0.7867115623533197	0.4280060416729762	231	0.010916727145358074	1.7999266010710455
Aquatic	R00182	0.0	0.0	0.0	0.0	0.0	0.0	127	0.0	
Aquatic	R00199	0.04233447410211876	0.032505907464708224	-0.04140074352696963	0.12606969173120716	-0.30521982893860616	0.2667718412515366	274	0.006197193599255302	0.33966298815742535
Aquatic	R00206	0.07008062365857506	0.02536942752523035	0.0047289783535816865	0.13543226896356844	-0.5491120159008432	0.20639187482085378	222	0.03352304080315338	0.0077662441241233005
Aquatic	R00214	-0.04065161883477141	0.046756999210762144	-0.1610976488016947	0.07979441113215188	0.43004670450165583	0.3846101218303073	364	0.002083761198435785	1.3819702978051396
Aquatic	R00216	0.012644673673718203	0.11010536426068486	-0.270986744661806	0.2962760920092424	0.06250060925153522	0.8976100431005517	66	0.00020602922789858535	0.9916390331638829
Aquatic	R00217	0.1731477265429836	0.08839624507521687	-0.05456100077077505	0.4008564538567423	-1.2633153984621497	0.7239850132431667	144	0.026308671040807585	0.08693759686578884
Aquatic	R00227	0.1422872329826828	0.07030514988448988	-0.03881883311976314	0.32339329908512876	-1.1229555880270685	0.5758523592566893	99	0.040515734247409285	0.07371268080844384
Aquatic	R00239	-0.008783866750460473	0.026023301158091105	-0.07581989053370317	0.05825215703278222	0.1266959053709606	0.21334629798180813	534	0.00021411252470382447	1.0699635758165233
Aquatic	R00251	0.26753111611674607	0.09004856034207415	0.03556602467556305	0.4994962075579291	-1.8075428478671796	0.7423639613599069	305	0.028306218193746346	0.0036275096870779233
Aquatic	R00253	0.6529129551666257	0.07275752952394944	0.465489559112932	0.8403363512203195	-4.783963893336604	0.5956715679007167	593	0.11991944946678634	0.0
Aquatic	R00259	-0.0032175437046703466	0.01083372572177188	-0.031125221163954712	0.02469013375461402	0.029705424704026512	0.08970085382644526	225	0.0003953817576546337	1.0546055689616667
Aquatic	R00260	0.019365514876004138	0.009665135928317277	-0.005531875275341169	0.04426290502734945	-0.1516110900400995	0.07912365784990529	509	0.007856133528790221	0.07763219503656815
Aquatic	R00262	0.029771758523993583	0.22064277656739398	-0.5386040339136133	0.5981475509616005	0.23372440511807344	1.7718138716588316	22	0.000909503510767462	0.9884762132487113
Aquatic	R00271	0.1955626006931167	0.06772792977918861	0.021095453581926854	0.37002974780430653	-1.539879435244606	0.5506632003624606	79	0.09770033999488514	0.004952715324070489
Aquatic	R00289	0.22790647544567652	0.04959844813910362	0.1001408730393456	0.35567207785200744	-1.7131170013795491	0.40623460698684916	420	0.048083885065260956	1.4531233849535141e-06
Aquatic	R00293	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	
Aquatic	R00294	0.0	0.0	0.0	0.0	0.0	0.0	22	0.0	
Aquatic	R00310	-0.005276302669731278	0.041797293235128194	-0.11294613004342151	0.10239352470395895	0.18608748078595885	0.34308592435536445	534	2.995287015961079e-05	1.0100935085718596
Aquatic	R00318	0.41160095479339737	0.2257913540978565	-0.17003757336268094	0.9932394829494757	-3.451421495565879	1.9210426852937443	14	0.21686658465550324	0.12056991972119091
Aquatic	R00341	0.02449239959000113	0.041564780756319794	-0.08257847563827866	0.13156327481828092	-0.1460863005866418	0.3401042830483937	276	0.0012656426805371934	0.8016760698277499
Aquatic	R00344	-0.028770019770566552	0.033392204080777046	-0.11478833748264822	0.05724829794151512	0.2610709303594635	0.27740268196098966	156	0.004797125161596916	1.376604722540607
Aquatic	R00345	0.031371849851298775	0.028082811727783125	-0.040969473159470554	0.1037131728620681	-0.23250285431717663	0.23213890770868678	353	0.0035428323185662247	0.45181923189755024
Aquatic	R00351	-0.059797086290793534	0.2222170888982848	-0.6322283072927751	0.5126341347111881	0.6751989399227095	1.8399798504917588	33	0.0023303984546722	1.0450519493821389
Aquatic	R00362	1.6421949649632976	0.6168249186801039	0.053253974443350005	3.2311359554832455	-12.779693780262555	5.129333158436424	18	0.30700023936692866	0.010972307046733132
Aquatic	R00371	0.015129366203897763	0.012717689806370192	-0.017631402737311848	0.04789013514510738	-0.119797820303175	0.10501522093696675	274	0.005176095995251928	0.40617985445699234
Aquatic	R00373	0.0	0.0	0.0	0.0	0.0	0.0	16	0.0	
Aquatic	R00401	0.14686468300812552	0.03426940642656018	0.05858669205330651	0.23514267396294453	-1.1096694711712285	0.28063523325762946	569	0.03137573201442412	8.357533578973175e-06
Aquatic	R00405	0.0	0.0	0.0	0.0	0.0	0.0	21	0.0	
Aquatic	R00409	-0.012287743296218071	0.014643842659482334	-0.05001028198704456	0.025434795394608422	0.10544402669045175	0.12095388666057759	173	0.004100657406134078	1.3612510511682179
Aquatic	R00411	0.008660418137874	0.04233279464157093	-0.10038886085881271	0.11770969713456073	-0.06396239917846186	0.3526092292086111	85	0.0005039956779215871	0.9737075485944193
Aquatic	R00412	0.06425560337715477	0.06062731803910964	-0.09192036789159166	0.2204315746459012	0.08164934662130385	0.4990856268823942	294	0.003832083796233454	0.4891442876480723
Aquatic	R00416	0.006483542144497871	0.00771293848002711	-0.013384987380051967	0.026352071669047707	-0.049651441490847	0.0630940968899066	414	0.0017121566941272759	0.6377255602182981
Aquatic	R00424	0.038308443619304224	0.046940410546481896	-0.08261005394843315	0.1592269411870416	-0.16263014131519107	0.38549420697108094	469	0.0014241620915134146	0.6544178026149989
Aquatic	R00425	0.36389984163260714	0.0509317258741614	0.23269971578076737	0.4950999674844469	-2.7548027714982495	0.41856879887668685	466	0.09911478150211595	7.549516567451064e-15
Aquatic	R00432	0.0	0.0	0.0	0.0	0.0	0.0	21	0.0	
Aquatic	R00451	0.04760637874587812	0.017574431266154038	0.0023346438042653184	0.09287811368749092	-0.36512932743187043	0.14408872362225233	573	0.012687794431320842	0.009359076753899576
Aquatic	R00457	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	
Aquatic	R00461	0.05415340870501996	0.07286418087652155	-0.13354472123289957	0.24185153864293946	-0.3999883042842285	0.5904096223136955	54	0.010510689017104946	0.70353034364866
Aquatic	R00472	0.1324988987014349	0.0402764302362103	0.028746814412957136	0.23625098298991265	-1.0414769061711273	0.3332299598868379	327	0.032226486948808475	0.001018180404138036
Aquatic	R00479	0.030159996532345933	0.025578828373372164	-0.03573106535746077	0.09605105842215264	-0.22970028883656174	0.2113038174174386	287	0.0048544832779880975	0.4126821040948436
Aquatic	R00480	0.2306788100770845	0.05940970788207129	0.07763940257286883	0.38371821758130015	-1.5610351174660482	0.48591196655417984	562	0.026216514359543974	6.786440680128791e-05
Aquatic	R00494	0.055830042845204784	0.07051801456799402	-0.1258243626819478	0.23748444837235738	-0.264180012775557	0.5846504179586939	329	0.0019131822228729556	0.6709641945929419
Aquatic	R00497	0.005634772455692106	0.03237400473736505	-0.07776066374776026	0.08903020865914447	-0.013518126012611896	0.26680146550539735	295	0.00010338258637765385	0.9808988776484224
Aquatic	R00502	0.048208141497184574	0.17061212138161272	-0.39128868318184984	0.48770496617621895	-0.36006015530879676	1.4038891611009583	19	0.004674522040408191	0.9504423423328023
Aquatic	R00519	0.25465530091586963	0.1021385726279664	-0.008453662173771803	0.5177642640055111	-1.5220747330922264	0.8409015971124378	300	0.020433535543830317	0.01911343140892363
Aquatic	R00524	0.2510433344550339	0.12907731062226988	-0.08145981770793331	0.5835464866180011	-1.9670969582219224	1.0701099354068457	43	0.08446711569093346	0.08998451990530865
Aquatic	R00525	0.21036738059055607	0.07936230881512361	0.005930073082797638	0.4148046880983145	-1.7005929103632134	0.6622964289747242	97	0.06886776184105492	0.01141191625609217
Aquatic	R00527	0.0031522654228765545	0.0459045352162132	-0.11509781729408866	0.12140234813984177	0.005920083924155935	0.3812288380817303	216	2.203489697949479e-05	0.9970024752906324
Aquatic	R00540	0.0	0.0	0.0	0.0	0.0	0.0	16	0.0	
Aquatic	R00566	-0.011941818029543968	0.03329992179032524	-0.09772241656142179	0.07383878050233385	0.13394139196536234	0.2732785928848288	231	0.0005612743066324422	1.0786099710306358
Aquatic	R00582	0.0045613560018060465	0.006967529433395766	-0.013386999818621449	0.022509711822233543	-0.03533769740497271	0.057235850086057125	329	0.0013089218925418367	0.7612134262485368
Aquatic	R00586	0.3279597498113006	0.05068553238972512	0.1973938183753687	0.4585256812472325	-2.480124837558356	0.415407477175457	541	0.07207692915017161	2.6578739209526248e-12
