dataset	environment	n_fits	mean_r2	median_r2	sd_r2	min_r2	max_r2	q25_r2	q75_r2
global	all	99	0.1548226970481187	0.1139668207524736	0.14449363703721158	0.0	0.6254039961876794	0.0359453556497942	0.23317476024658196
environment_specific	Aquatic	95	0.09034611514904363	0.0643139008760397	0.08575339807465276	0.0004107719044423	0.4095246173647106	0.0237017678419714	0.1357086602611482
environment_specific	Birds	74	0.16782965409862738	0.1280028662838314	0.15553843083769392	0.0	0.5662295785976513	0.038181144856128196	0.2533084657422218
environment_specific	Food production	87	0.17950234675330223	0.1207149605471176	0.16835792363699698	0.0	0.6681590449087289	0.03390678096777425	0.29995867043292274
environment_specific	Mammals	87	0.15382134514026086	0.119755173582328	0.13530943347257493	0.0	0.5870592795371854	0.0496304302060918	0.23199615174849
environment_specific	Mammals: Human	94	0.21145029678254432	0.17802983415819004	0.165106565037408	0.0	0.6899815978710244	0.07984862916251392	0.3078621699504594
environment_specific	Plants	94	0.1548134961376158	0.1236588893495281	0.1452165734585826	0.0	0.5498253433315599	0.0254979739574602	0.24565652287332498
environment_specific	Terrestrial	96	0.13188128401537758	0.10709776861847944	0.12187644884585859	2.349869197659782e-05	0.5377480468778046	0.022661686327164525	0.2200648593085477
environment_specific	Wastewater	83	0.13783792757400806	0.0901064434938014	0.13888411702276804	0.0	0.6360643668707484	0.019665628143088698	0.2264372929437657
