category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
K13787	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	Top 5%	0.8959110593518049	Mammals	Bottom 5%	-6.987195330259948	Mammals	0.5511181141375436	13
K13789	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	Top 5%	0.8959110593518049	Mammals	Bottom 5%	-6.987195330259948	Mammals	0.5511181141375436	13
K14170	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]	Bottom 5%	-0.6344673721290166	Plants	Top 5%	5.772194619886234	Plants	0.2788770014903479	66
K14187	chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]	Bottom 5%	-0.472985465075412	Plants	Top 5%	4.307146644444846	Plants	0.0835532802193745	156
K14541	urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]	Bottom 5%	-0.4670353039141377	Mammals: Human	Top 5%	4.544475225910048	Mammals: Human	0.0885398862178625	43
K16047	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase [EC:1.14.14.12]	Top 5%	1.3553578227251362	Mammals: Human	Bottom 5%	-11.459840892769757	Mammals: Human	0.3455587891008801	46
K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]	Top 5%	1.3553578227251362	Mammals: Human	Bottom 5%	-11.459840892769757	Mammals: Human	0.3455587891008801	46
K16953	dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	Bottom 5%	-0.3715658046522136	Plants	Top 5%	3.3874629449297182	Plants	0.0535374522331307	43
K19285	FMN reductase (NADPH) [EC:1.5.1.38]				Bottom 5%	-6.174178830189481	Plants	0.1725317870158979	236
K19286	FMN reductase [NAD(P)H] [EC:1.5.1.39]				Bottom 5%	-6.174178830189481	Plants	0.1725317870158979	236
K22515	formate dehydrogenase beta subunit [EC:1.17.1.9]	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K28067	dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	Bottom 5%	-0.3715658046522136	Plants	Top 5%	3.3874629449297182	Plants	0.0535374522331307	43
K28068	dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	Bottom 5%	-0.3715658046522136	Plants	Top 5%	3.3874629449297182	Plants	0.0535374522331307	43
K28069	dimethylpropiothetin dethiomethylase [EC:4.4.1.3]	Bottom 5%	-0.3715658046522136	Plants	Top 5%	3.3874629449297182	Plants	0.0535374522331307	43
K28207	N-acetylglucosamine kinase [EC:2.7.1.59]	Top 5%	0.8537642260626871	Plants	Bottom 5%	-7.08424543824693	Plants	0.365756596473055	54
K28208	N-acetylmuramate/N-acetylglucosamine kinase [EC:2.7.1.- 2.7.1.59]	Top 5%	0.8537642260626871	Plants	Bottom 5%	-7.08424543824693	Plants	0.365756596473055	54
